iter	RMSE
0	0.9199486744
1	0.9103749406
2	0.9030122928
3	0.8942889888
4	0.8857642966
5	0.8781909338
6	0.8691099673
7	0.8619102423
8	0.8535957841
9	0.8468494112
10	0.8385226587
11	0.8310433773
12	0.822517557
13	0.8147898129
14	0.8081529464
15	0.7999989525
16	0.7937062755
17	0.7862851205
18	0.7792908997
19	0.7724020929
20	0.766266077
21	0.7595330407
22	0.752706207
23	0.7467368812
24	0.7403431912
25	0.7356825944
26	0.7293911748
27	0.7234079914
28	0.7173312953
29	0.7109948962
30	0.7062797793
31	0.7003452622
32	0.6945045731
33	0.689436619
34	0.6846021518
35	0.678288648
36	0.6733776252
37	0.66797672
38	0.6626318409
39	0.6573257103
40	0.651874689
41	0.647570514
42	0.6426311701
43	0.6374286225
44	0.6314855473
45	0.6271091206
46	0.6230206761
47	0.6179741085
48	0.6138421276
49	0.6098568443
50	0.6057926223
51	0.6014392405
52	0.5968680339
53	0.5925673323
54	0.5882676715
55	0.5836265389
56	0.5790464698
57	0.57524439
58	0.5709161749
59	0.5677265812
60	0.5644540467
61	0.5604625055
62	0.556060367
63	0.552274224
64	0.54930766
65	0.5462035277
66	0.5420511677
67	0.538455016
68	0.534679871
69	0.5313959421
70	0.5284152012
71	0.5257268343
72	0.522605303
73	0.5192361902
74	0.5159845832
75	0.5127511175
76	0.5102597586
77	0.5079547251
78	0.5050870637
79	0.5014692268
80	0.498090863
81	0.4958748047
82	0.492660022
83	0.4894688067
84	0.4863231016
85	0.4837303115
86	0.4810673129
87	0.4784281673
88	0.4762258687
89	0.4732413066
90	0.4711738573
91	0.4674822012
92	0.4639389227
93	0.4614187076
94	0.4585025772
95	0.4560842649
96	0.4535226694
97	0.4513152737
98	0.4488991272
99	0.4462191841
100	0.4435424552
101	0.4416657057
102	0.4388134048
103	0.4371041939
104	0.4352019454
105	0.4331489972
106	0.4305794626
107	0.4283029759
108	0.4261319403
109	0.4240495088
110	0.4222108164
111	0.4198191032
112	0.4173500347
113	0.414627495
114	0.4124905358
115	0.410356804
116	0.4084131559
117	0.4067093683
118	0.4045972121
119	0.4019494103
120	0.3998493112
121	0.3974393526
122	0.3954280264
123	0.3938244221
124	0.39160401
125	0.3891200708
126	0.3872466537
127	0.3853597631
128	0.3831919933
129	0.3810817639
130	0.379222304
131	0.3775997948
132	0.3762610071
133	0.3746601119
134	0.3725181024
135	0.3708380262
136	0.3689618111
137	0.3674544353
138	0.3652820828
139	0.3630980256
140	0.361597064
141	0.3598013079
142	0.3585154584
143	0.3565383133
144	0.3551647829
145	0.3534215516
146	0.3521628614
147	0.3506708073
148	0.3494247658
149	0.3475197023
150	0.3455928661
151	0.3441928465
152	0.3422841868
153	0.3406643515
154	0.3388360057
155	0.3371925887
156	0.3360973086
157	0.3343766215
158	0.3333726418
159	0.3318865507
160	0.3304625867
161	0.3283624394
162	0.3271211705
163	0.3257982182
164	0.3246119285
165	0.3228898726
166	0.3210311874
167	0.3198760666
168	0.3183196197
169	0.3168149757
170	0.3154649461
171	0.3141086067
172	0.3127488534
173	0.3113068733
174	0.3101637825
175	0.3090372702
176	0.3076485391
177	0.3065892126
178	0.3052876143
179	0.3044120104
180	0.3035295704
181	0.3018766059
182	0.3007188537
183	0.29947413
184	0.2984970581
185	0.2971244856
186	0.2961808011
187	0.2951631623
188	0.2935236365
189	0.2926259273
190	0.2913895621
191	0.2898768344
192	0.2885526535
193	0.2873591939
194	0.2858818109
195	0.2850729539
196	0.2842973606
197	0.2833916511
198	0.2823542827
199	0.2815260734
200	0.2801803232
201	0.2794135827
202	0.278491472
203	0.2773051836
204	0.2758326128
205	0.274905931
206	0.2741182673
207	0.2728627046
208	0.27177606
209	0.2705941933
210	0.2694589723
211	0.2685831308
212	0.2677838792
213	0.2669418904
214	0.2655972247
215	0.2647684279
216	0.2636596371
217	0.2626715749
218	0.2612159261
219	0.2605069984
220	0.259260206
221	0.2581055954
222	0.2574196493
223	0.2562722185
224	0.2550158801
225	0.2541538781
226	0.2530000943
227	0.2519216112
228	0.2509516231
229	0.24990318
230	0.2488717473
231	0.2478239648
232	0.2468192961
233	0.2459585432
234	0.2448017766
235	0.243752577
236	0.2426311836
237	0.241683881
238	0.2404506326
239	0.2399166995
240	0.2389726345
241	0.2383116999
242	0.2373606232
243	0.236166953
244	0.2352150577
245	0.2342538923
246	0.2333294823
247	0.2324088064
248	0.2312991537
249	0.2304636001
250	0.2296509611
251	0.2287125565
252	0.2280056526
253	0.2268619563
254	0.2263756676
255	0.2258848896
256	0.2250692098
257	0.2243211132
258	0.2234417084
259	0.2223478036
260	0.2214717162
261	0.2201852217
262	0.2194334265
263	0.2190027659
264	0.2178103487
265	0.2169260107
266	0.2158930322
267	0.2154010417
268	0.2145229014
269	0.2138290926
270	0.2127982646
271	0.2120653632
272	0.2110501233
273	0.2100513611
274	0.2092851029
275	0.2085966651
276	0.2077473819
277	0.2070423418
278	0.2060761237
279	0.2049799766
280	0.2043519384
281	0.203578198
282	0.2027344228
283	0.2021266655
284	0.2014018827
285	0.2007438263
286	0.1997364659
287	0.1989192773
288	0.1978967214
289	0.1969252124
290	0.1958390725
291	0.1949076988
292	0.1936298695
293	0.192781319
294	0.1919118417
295	0.1909684615
296	0.190512855
297	0.1897230243
298	0.1888724112
299	0.188117437
300	0.1870561539
301	0.1864029258
302	0.1856152543
303	0.1844523251
304	0.1835810384
305	0.1824500993
306	0.1814304794
307	0.1805231534
308	0.1798721074
309	0.1791606135
310	0.1784243024
311	0.1774183059
312	0.1766611487
313	0.1758875244
314	0.175063599
315	0.1742005572
316	0.173516078
317	0.1726147972
318	0.1717962682
319	0.1711426419
320	0.1703731318
321	0.1696959752
322	0.1687161222
323	0.168145494
324	0.1675907856
325	0.1667844143
326	0.1660087307
327	0.1655763407
328	0.1644819284
329	0.1638060294
330	0.1629433964
331	0.1621286617
332	0.161508509
333	0.1605750002
334	0.1596828482
335	0.158970088
336	0.1584131604
337	0.1573646277
338	0.1569240019
339	0.1562086154
340	0.1554639998
341	0.154833005
342	0.1539778828
343	0.153141442
344	0.1523966274
345	0.1516203387
346	0.1508196933
347	0.1502716575
348	0.1493498616
349	0.1487027878
350	0.1481984938
351	0.1474814297
352	0.1465812615
353	0.1456259006
354	0.1448849156
355	0.1442318404
356	0.143531123
357	0.1427943839
358	0.142163194
359	0.1415628424
360	0.1411589044
361	0.1404631465
362	0.1398086131
363	0.1393008868
364	0.1386071063
365	0.1380147261
366	0.1375489268
367	0.1367628872
368	0.1359256543
369	0.1353448376
370	0.1345139033
371	0.1341073176
372	0.1333529716
373	0.13282178
374	0.1319970488
375	0.1314588244
376	0.1307134359
377	0.1300042675
378	0.1294044824
379	0.1288899326
380	0.1284935921
381	0.1280310859
382	0.1276006715
383	0.1268803674
384	0.1262415641
385	0.1255869681
386	0.1251940844
387	0.1247426158
388	0.1240441865
389	0.1234257802
390	0.1228875491
391	0.1222113491
392	0.1218471845
393	0.12111102
394	0.1204883882
395	0.120026389
396	0.1193863117
397	0.1188213034
398	0.1181507898
399	0.117548999
