iter	Passed	Remaining
0	62	24807
1	64	12741
2	65	8694
3	67	6693
4	69	5503
5	71	4702
6	73	4124
7	75	3701
8	77	3359
9	79	3082
10	80	2859
11	82	2672
12	84	2511
13	86	2372
14	87	2255
15	89	2152
16	91	2066
17	93	1980
18	94	1904
19	96	1837
20	98	1784
21	100	1730
22	102	1680
23	104	1636
24	106	1594
25	108	1554
26	109	1516
27	111	1481
28	113	1451
29	115	1424
30	117	1397
31	119	1370
32	120	1345
33	122	1322
34	124	1301
35	126	1279
36	128	1258
37	130	1239
38	131	1221
39	133	1202
40	135	1185
41	137	1167
42	138	1152
43	140	1136
44	142	1122
45	143	1107
46	145	1095
47	147	1082
48	149	1068
49	152	1065
50	154	1054
51	155	1043
52	157	1032
53	159	1021
54	161	1010
55	162	1000
56	164	992
57	168	991
58	170	984
59	172	976
60	174	967
61	176	961
62	178	954
63	180	946
64	182	939
65	184	933
66	186	926
67	188	919
68	190	912
69	191	904
70	193	898
71	195	891
72	197	885
73	199	878
74	201	871
75	203	866
76	205	860
77	206	854
78	209	851
79	211	845
80	213	839
81	215	835
82	217	830
83	219	824
84	221	820
85	223	814
86	224	808
87	226	803
88	228	800
89	230	795
90	232	791
91	235	787
92	236	782
93	238	777
94	240	772
95	242	767
96	244	763
97	246	760
98	248	754
99	250	750
100	252	746
101	254	742
102	256	739
103	258	735
104	259	729
105	261	725
106	263	722
107	265	718
108	267	713
109	269	710
110	271	705
111	272	701
112	274	697
113	276	694
114	278	689
115	279	685
116	282	682
117	283	678
118	286	676
119	288	672
120	289	668
121	291	664
122	294	662
123	296	658
124	297	655
125	300	653
126	302	651
127	304	647
128	306	642
129	307	639
130	309	635
131	311	632
132	312	628
133	314	625
134	316	621
135	318	617
136	320	615
137	321	611
138	324	608
139	325	604
140	327	601
141	329	597
142	330	593
143	332	590
144	333	587
145	335	583
146	336	579
147	338	576
148	340	573
149	342	570
150	343	566
151	344	562
152	347	560
153	349	557
154	350	554
155	353	552
156	354	549
157	356	545
158	358	542
159	359	539
160	361	536
161	362	533
162	364	529
163	365	526
164	367	523
165	368	520
166	370	517
167	372	514
168	374	511
169	375	508
170	377	505
171	379	503
172	381	500
173	383	497
174	385	495
175	387	493
176	389	490
177	391	488
178	393	485
179	395	483
180	397	480
181	398	477
182	400	475
183	402	472
184	404	470
185	406	468
186	408	465
187	410	463
188	412	460
189	414	458
190	416	455
191	417	452
192	419	450
193	421	447
194	425	447
195	427	444
196	429	442
197	431	440
198	433	438
199	435	435
200	437	432
201	439	430
202	441	428
203	442	425
204	445	423
205	447	421
206	449	418
207	451	416
208	453	414
209	455	412
210	457	410
211	459	407
212	461	405
213	463	402
214	465	400
215	467	398
216	469	396
217	471	393
218	473	391
219	476	389
220	478	387
221	480	385
222	482	382
223	484	380
224	486	378
225	488	376
226	490	374
227	492	371
228	495	369
229	497	367
230	499	365
231	501	363
232	504	361
233	506	359
234	508	357
235	511	355
236	513	353
237	516	351
238	519	349
239	521	347
240	523	345
241	525	343
242	527	340
243	529	338
244	531	336
245	533	334
246	536	332
247	538	329
248	540	327
249	542	325
250	544	323
251	546	320
252	548	318
253	550	316
254	552	313
255	553	311
256	555	309
257	557	306
258	559	304
259	561	302
260	563	300
261	565	297
262	566	295
263	568	293
264	570	290
265	572	288
266	574	286
267	576	284
268	578	281
269	580	279
270	582	277
271	584	275
272	586	272
273	587	270
274	589	268
275	591	265
276	593	263
277	595	261
278	597	259
279	599	256
280	600	254
281	602	251
282	603	249
283	605	247
284	607	245
285	608	242
286	610	240
287	612	238
288	614	235
289	615	233
290	617	231
291	619	229
292	621	226
293	622	224
294	624	222
295	626	220
296	628	217
297	630	215
298	633	213
299	635	211
300	637	209
301	639	207
302	641	205
303	643	203
304	645	200
305	646	198
306	648	196
307	650	194
308	652	192
309	653	189
310	655	187
311	657	185
312	659	183
313	661	181
314	663	179
315	665	176
316	667	174
317	669	172
318	670	170
319	672	168
320	674	165
321	676	163
322	678	161
323	680	159
324	681	157
325	683	155
326	685	153
327	687	150
328	688	148
329	690	146
330	692	144
331	694	142
332	695	139
333	697	137
334	698	135
335	700	133
336	702	131
337	704	129
338	705	126
339	707	124
340	709	122
341	710	120
342	712	118
343	713	116
344	715	114
345	717	112
346	719	109
347	721	107
348	722	105
349	724	103
350	726	101
351	728	99
352	729	97
353	731	95
354	733	93
355	735	90
356	737	88
357	738	86
358	740	84
359	742	82
360	743	80
361	745	78
362	746	76
363	748	73
364	749	71
365	751	69
366	753	67
367	754	65
368	756	63
369	758	61
370	760	59
371	762	57
372	763	55
373	765	53
374	767	51
375	768	49
376	770	46
377	771	44
378	773	42
379	775	40
380	777	38
381	780	36
382	783	34
383	786	32
384	788	30
385	790	28
386	792	26
387	793	24
388	794	22
389	796	20
390	798	18
391	799	16
392	801	14
393	802	12
394	804	10
395	805	8
396	807	6
397	809	4
398	810	2
399	812	0
